name	rank	n_positives	auprc	auroc	f1_score
Alkaloids	Pathway	279	0.5869464739126098	0.8227724574372759	0.4679911699779249
Amino acids and Peptides	Pathway	666	0.7886993442159564	0.8596566891639681	0.75
Carbohydrates	Pathway	87	0.6726608655328129	0.9510557221389304	0.6575342465753424
Fatty acids	Pathway	50	0.2311828660609312	0.860311464546057	0.1311475409836065
Polyketides	Pathway	665	0.7583224208593491	0.8217767573295655	0.7213114754098361
Shikimates and Phenylpropanoids	Pathway	36	0.0563267494983237	0.7062267454585247	0.0285714285714285
Terpenoids	Pathway	73	0.5172704163405468	0.8476096535703093	0.5614035087719298
2-pyrone derivatives	Class	8	0.0746539837853443	0.8119358478401032	0.0
3-oligoenoyltetramic acids	Class	6	0.673252632665703	0.9408134792874008	0.8
Amino cyclitols	Class	30	0.8240072586758473	0.9775343361674298	0.8301886792452831
Aminoacids	Class	33	0.1640386243146536	0.8579470987727869	0.0
Aminoglycosides	Class	14	0.1027143458278409	0.9170134073046694	0.0
Aminosugars	Class	9	0.2303941701243702	0.8788172043010752	0.0
Angucyclines	Class	51	0.6776557590791115	0.9563959536069068	0.5647058823529412
Ansa macrolides	Class	24	0.7874546054605893	0.9762622149837136	0.717948717948718
Anthracyclines	Class	16	0.7104725143376458	0.9857623136746598	0.5217391304347826
Anthraquinones and anthrones	Class	32	0.1969279385053513	0.9179150294695482	0.0975609756097561
Bafilomycins	Class	5	0.179186123107458	0.8806306306306306	0.0
Benzodiazepine alkaloids	Class	5	0.7107770007770008	0.8375804375804377	0.5714285714285714
Carbazole alkaloids	Class	22	0.5759291175927593	0.9495475246939136	0.6666666666666666
Carboline alkaloids	Class	10	0.4042247941886683	0.961749515816656	0.1666666666666666
Cyclic peptides	Class	301	0.6732185822278829	0.8969003691985908	0.5572519083969466
Depsipeptides	Class	173	0.5527388817392752	0.9088615302488134	0.4934210526315789
Dialkylresorcinols	Class	6	0.7081608005521048	0.997102382485512	0.2857142857142857
Dipeptides	Class	31	0.1896622588346737	0.7616956595169735	0.1176470588235294
Enediynes	Class	11	0.5833776072412435	0.9210711768851304	0.6
Ericamycins	Class	7	0.2878574641732536	0.9942470544919	0.0
Erythromycins	Class	11	0.3442334052518175	0.959830866807611	0.1666666666666666
Fasamycins and derivatives	Class	7	0.3987063348966775	0.8582474226804123	0.0
Hapalindole alkaloids	Class	6	1.0	1.0	1.0
Imidazole alkaloids	Class	8	0.0753708022682366	0.7201805286911669	0.0
Isocoumarins	Class	5	0.0049004066736527	0.5446589446589447	0.0
Linear peptides	Class	89	0.423353195283715	0.8884697699304442	0.384
Lipopeptides	Class	93	0.2927947557927672	0.887716557379454	0.1102362204724409
Macrocyclic tetramic acids	Class	10	0.8775	0.9980632666236282	0.8888888888888888
Macrolide lactams	Class	23	0.6950858387713496	0.8761039402173914	0.8181818181818182
Macrolide lactones	Class	25	0.1620514421628792	0.9047066492829204	0.0
Melithiazole and Myxothiazole derivatives	Class	7	0.3943825371291415	0.8196796759941091	0.0
N-acyl amines	Class	19	0.0372779188210671	0.7038106630211893	0.0
Naphthoquinones	Class	19	0.3930940141347703	0.9475563909774436	0.4444444444444444
Open-chain polyketides	Class	71	0.3045929301340783	0.919600938967136	0.1836734693877551
Phenazine alkaloids	Class	13	1.0	1.0	1.0
Piperidine alkaloids	Class	11	0.5784236349729468	0.96723044397463	0.0
Polyamines	Class	24	0.1231552838085793	0.8621335504885993	0.0
Polyene macrolides	Class	37	0.5751359498694193	0.9485207941186916	0.490566037735849
Polyether ionophores	Class	20	0.6262566128048207	0.98632228719948	0.24
Purine nucleos(t)ides	Class	20	0.5378878521647465	0.9341455490578298	0.32
Pyrazine and Piperazine alkaloids	Class	7	0.0148677955804111	0.7692838733431517	0.0
Pyridine alkaloids	Class	15	0.0612453824974373	0.6859455958549223	0.0
Pyrimidine nucleos(t)ides	Class	15	0.3679080769166578	0.9243523316062175	0.3
Pyrrole alkaloids	Class	9	0.3847040650089894	0.9856989247311828	0.0
Quinoline alkaloids	Class	10	0.0303517477088086	0.7981601032924468	0.0
RiPPs-Cyanobactins	Class	6	0.2973567360535445	0.95197467267654	0.0
RiPPs-Lanthipeptides	Class	33	0.7697711260855257	0.9892867071766156	0.6551724137931034
RiPPs-Lasso peptides	Class	21	0.6922946930151759	0.9449037092080006	0.5
RiPPs-Thiopeptides	Class	24	0.555141893144351	0.9562839305103148	0.4324324324324324
Simple amide alkaloids	Class	21	0.0875809027210309	0.6253173571118955	0.0
Simple coumarins	Class	6	0.0131031360656672	0.7941081777205409	0.0
Simple indole alkaloids	Class	15	0.2112961628891238	0.8532167530224525	0.0
Spirotetronate macrolides	Class	11	0.8377407075682938	0.991631430584919	0.7368421052631579
Thiazole alkaloids	Class	11	0.3536811919110452	0.9243305144467936	0.0
Tripeptides	Class	37	0.1442834032796161	0.7284245480697518	0.1860465116279069
Tylosins	Class	12	0.5439079766595313	0.9632891618185736	0.4705882352941176
Unsaturated fatty acids	Class	9	0.2592627282454413	0.8075627240143369	0.0
Vancomycins and Teicoplanins	Class	21	0.831206521749456	0.9901851507833304	0.6666666666666666
pteridine alkaloids	Class	9	0.4434299193714242	0.9188888888888888	0.3076923076923077
Alkylresorcinols	Superclass	7	0.5156784005468216	0.9922680412371134	0.25
Aminosugars and aminoglycosides	Superclass	23	0.1239051999036494	0.8354987545289856	0.0
Anthranilic acid alkaloids	Superclass	28	0.6532569226178755	0.861913315293459	0.6956521739130435
Aromatic polyketides	Superclass	9	0.0251449037187135	0.7264516129032257	0.0
Carotenoids (C40)	Superclass	15	0.6524646993300244	0.99743091537133	0.6666666666666666
Coumarins	Superclass	12	0.0099399928744655	0.5554837319543202	0.0
Cyclic polyketides	Superclass	12	0.0294259255538939	0.6799181210945917	0.0
Diterpenoids	Superclass	14	0.5434430632647175	0.8931114193250116	0.3333333333333333
Fatty Acids and Conjugates	Superclass	15	0.1812617697553646	0.7972366148531951	0.0
Fatty amides	Superclass	19	0.0372779188210671	0.7038106630211893	0.0
Histidine alkaloids	Superclass	8	0.0753708022682366	0.7201805286911669	0.0
Linear polyketides	Superclass	106	0.3022297572284629	0.8616135776337831	0.2207792207792207
Lysine alkaloids	Superclass	15	0.4744429391873176	0.8845854922279792	0.0
Macrolides	Superclass	200	0.8011071982321083	0.9526066961000736	0.7116883116883117
Naphthalenes	Superclass	21	0.3952717553894933	0.9547804817635768	0.3888888888888889
Nicotinic acid alkaloids	Superclass	15	0.0612453824974373	0.6859455958549223	0.0
Nucleosides	Superclass	36	0.504840379188829	0.9536550667542132	0.490566037735849
Oligopeptides	Superclass	475	0.8812202829863611	0.9490085453486116	0.822529224229543
Ornithine alkaloids	Superclass	31	0.092205020275907	0.7919903732477622	0.0
Peptide alkaloids	Superclass	35	0.085501475285837	0.6438601424821897	0.054054054054054
Polycyclic aromatic polyketides	Superclass	112	0.866204135089721	0.9834941751406852	0.8075117370892019
Polyethers	Superclass	25	0.4821673226495279	0.8558018252933507	0.3529411764705882
Polyols	Superclass	30	0.8240072586758473	0.9775343361674298	0.8301886792452831
Proline alkaloids	Superclass	17	0.8334434486222764	0.9917219806210422	0.5217391304347826
Pseudoalkaloids	Superclass	17	0.2441812697932321	0.7244411383230334	0.3478260869565217
Saccharides	Superclass	9	0.0641196047904829	0.827921146953405	0.0
Serine alkaloids	Superclass	11	0.3536811919110452	0.9243305144467936	0.0
Sesquiterpenoids	Superclass	13	0.4563298550478175	0.9274057120111454	0.4347826086956521
Small peptides	Superclass	101	0.3125516207875288	0.8454752882695676	0.2769230769230769
Tetramate alkaloids	Superclass	7	0.0148677955804111	0.7692838733431517	0.0
Tryptophan alkaloids	Superclass	60	0.6320646569221857	0.9049588614631976	0.6086956521739131
Tyrosine alkaloids	Superclass	7	0.624661250239813	0.9240150957290132	0.0
β-lactams	Superclass	11	0.3446284083771944	0.9268851303735024	0.0
